Province_State,date,Lat,Long_,Confirmed,Deaths,STATE,COUNTY,POPESTIMATE2019,covid symptoms,do i have covid,covid test,covid near me,covid vaccines,covid travel,travel restrictions,covid depression,covid health insurance,test sites,bars near me,Confirmed_Percent,Deaths_Percent,Confirmed_Percent_Smooth,Deaths_Percent_Smooth,Confirmed_Smooth,Deaths_Smooth
Colorado,2020-06-05 00:00:01,38.90239628983334,-105.51943618666665,4.433521946368295,0.2086363268879197,8.0,61.95,95860.58333333333,14,0,30,17,3,13,16,0,21,10,10,-14.99999999999998,-33.333333333333336,1.713424683362056,59.291308035150394,5.561151617881573,0.22602268746191304
Colorado,2020-06-06 00:00:01,38.90239628983334,-105.51943618666665,4.0510220137404405,0.05215908172197992,8.0,61.95,95860.58333333333,14,0,28,8,0,5,11,0,0,21,26,-8.627450980392188,-75.0,-6.014215947961296,61.42595499738356,4.974982889958371,0.21857139007305873
Colorado,2020-06-07 00:00:01,38.90239628983334,-105.51943618666665,2.6601131678209757,0.0,8.0,61.95,95860.58333333333,19,0,29,18,3,3,14,0,0,0,20,-34.33476394849786,-100.0,-7.101233239603006,58.330716902145475,4.346590143498327,0.2086363268879197
Colorado,2020-06-08 00:00:01,38.90239628983334,-105.51943618666665,3.1643176244667814,0.278181769183893,8.0,61.95,95860.58333333333,31,0,30,12,0,0,6,0,0,0,30,18.954248366013065,inf,-5.950937907142676,54.24908424908425,4.031151887370163,0.20366879529535017
Colorado,2020-06-09 00:00:01,38.90239628983334,-105.51943618666665,2.8513631341349024,0.17386360573993306,8.0,61.95,95860.58333333333,23,0,20,19,3,3,13,0,0,0,44,-9.890109890109876,-37.50000000000002,0.8894649206551085,inf,3.988927868833322,0.21112009268420448
Colorado,2020-06-10 00:00:01,38.90239628983334,-105.51943618666665,2.6253404466729897,0.33034085090587284,8.0,61.95,95860.58333333333,31,0,14,16,0,7,9,23,0,0,50,-7.926829268292671,90.00000000000001,-1.384858028470423,inf,3.872190876407938,0.1962174979064959
Colorado,2020-06-11 00:00:01,38.90239628983334,-105.51943618666665,2.57318136495101,0.17386360573993306,8.0,61.95,95860.58333333333,25,0,15,7,4,6,17,0,12,0,49,-1.9867549668874167,-47.36842105263158,-6.647255439174382,inf,3.5716552150574827,0.1937337321102111
Colorado,2020-06-12 00:00:01,38.90239628983334,-105.51943618666665,3.0426131004488286,0.0,8.0,61.95,95860.58333333333,21,27,17,17,0,8,8,0,0,0,17,18.24324324324322,-100.00000000000001,-8.401665812595274,inf,3.1941228140221987,0.17386360573993306
Colorado,2020-06-13 00:00:01,38.90239628983334,-105.51943618666665,3.3903403119286954,0.26079540860989964,8.0,61.95,95860.58333333333,23,0,18,8,0,6,9,0,0,0,33,11.428571428571454,inf,-3.652631063560532,inf,2.995421550319418,0.14405841618451598
Colorado,2020-06-14 00:00:01,38.90239628983334,-105.51943618666665,1.964658744861244,0.01738636057399331,8.0,61.95,95860.58333333333,22,0,36,7,0,11,8,11,0,0,28,-42.051282051282044,-93.33333333333333,-0.7874850051371544,inf,2.9010384500605975,0.17386360573993306
Colorado,2020-06-15 00:00:01,38.90239628983334,-105.51943618666665,2.938294937004869,0.12170452401795316,8.0,61.95,95860.58333333333,29,25,19,11,3,6,23,0,0,11,25,49.5575221238938,599.9999999999999,-1.889844734106324,inf,2.8016878182092073,0.17634737153621782
Colorado,2020-06-16 00:00:01,38.90239628983334,-105.51943618666665,2.4862495620810434,0.20863632688791975,8.0,61.95,95860.58333333333,40,24,22,13,0,3,10,0,0,11,27,-15.384615384615376,71.42857142857147,2.4820515170194946,inf,2.7693988628575057,0.15399347936965505
