date,do i have covid,isPartial,State
2020-09-30,29,False,AZ
2020-10-01,29,False,AZ
2020-10-02,29,False,AZ
2020-10-03,0,False,AZ
2020-10-04,0,False,AZ
2020-10-05,30,False,AZ
2020-10-06,0,False,AZ
2020-10-07,0,False,AZ
2020-03-22,0,False,AR
2020-03-23,0,False,AR
2020-03-24,0,False,AR
2020-03-25,0,False,AR
2020-03-26,0,False,AR
2020-03-27,0,False,AR
2020-03-28,0,False,AR
2020-03-29,0,False,AR
2020-03-30,0,False,AR
2020-03-31,29,False,AR
2020-04-01,30,False,AR
2020-04-02,0,False,AR
2020-04-03,0,False,AR
2020-04-04,33,False,AR
2020-04-05,34,False,AR
2020-04-06,0,False,AR
2020-04-07,29,False,AR
2020-04-08,0,False,AR
2020-04-09,30,False,AR
2020-04-10,0,False,AR
2020-04-11,35,False,AR
2020-04-12,34,False,AR
2020-04-13,0,False,AR
2020-04-14,29,False,AR
2020-04-15,0,False,AR
2020-04-16,29,False,AR
2020-04-17,0,False,AR
2020-04-18,0,False,AR
2020-04-19,0,False,AR
2020-04-20,0,False,AR
2020-04-21,0,False,AR
2020-04-22,0,False,AR
2020-04-23,29,False,AR
2020-04-24,29,False,AR
2020-04-25,0,False,AR
2020-04-26,35,False,AR
2020-04-27,0,False,AR
2020-04-28,0,False,AR
2020-04-29,0,False,AR
2020-04-30,0,False,AR
2020-05-01,0,False,AR
2020-05-02,0,False,AR
2020-05-03,0,False,AR
2020-05-04,0,False,AR
2020-05-05,28,False,AR
2020-05-06,30,False,AR
2020-05-07,0,False,AR
2020-05-08,0,False,AR
2020-05-09,36,False,AR
2020-05-10,0,False,AR
2020-05-11,0,False,AR
2020-05-12,0,False,AR
2020-05-13,0,False,AR
2020-05-14,0,False,AR
2020-05-15,59,False,AR
2020-05-16,0,False,AR
2020-05-17,0,False,AR
2020-05-18,0,False,AR
2020-05-19,0,False,AR
2020-05-20,0,False,AR
2020-05-21,31,False,AR
2020-05-22,0,False,AR
2020-05-23,0,False,AR
2020-05-24,0,False,AR
2020-05-25,0,False,AR
2020-05-26,0,False,AR
2020-05-27,30,False,AR
2020-05-28,0,False,AR
2020-05-29,0,False,AR
2020-05-30,0,False,AR
2020-05-31,0,False,AR
2020-06-01,0,False,AR
2020-06-02,32,False,AR
2020-06-03,0,False,AR
2020-06-04,0,False,AR
2020-06-05,0,False,AR
2020-06-06,0,False,AR
2020-06-07,0,False,AR
2020-06-08,0,False,AR
2020-06-09,0,False,AR
2020-06-10,0,False,AR
2020-06-11,32,False,AR
2020-06-12,0,False,AR
2020-06-13,0,False,AR
2020-06-14,0,False,AR
2020-06-15,0,False,AR
2020-06-16,0,False,AR
2020-06-17,0,False,AR
2020-06-18,0,False,AR
2020-06-19,33,False,AR
2020-06-20,0,False,AR
2020-06-21,0,False,AR
2020-06-22,0,False,AR
2020-06-23,0,False,AR
2020-06-24,33,False,AR
2020-06-25,33,False,AR
2020-06-26,0,False,AR
2020-06-27,37,False,AR
2020-06-28,37,False,AR
2020-06-29,32,False,AR
2020-06-30,0,False,AR
2020-07-01,0,False,AR
2020-07-02,67,False,AR
2020-07-03,0,False,AR
2020-07-04,0,False,AR
2020-07-05,0,False,AR
2020-07-06,0,False,AR
2020-07-07,33,False,AR
2020-07-08,0,False,AR
2020-07-09,0,False,AR
2020-07-10,0,False,AR
2020-07-11,77,False,AR
2020-07-12,0,False,AR
2020-07-13,0,False,AR
2020-07-14,33,False,AR
2020-07-15,34,False,AR
2020-07-16,0,False,AR
2020-07-17,34,False,AR
