,date,date,State,State,covid symptoms,do i have covid
394,2020-10-02,2020-10-02,AZ,AZ,42,29
395,2020-10-03,2020-10-03,AZ,AZ,40,0
396,2020-10-04,2020-10-04,AZ,AZ,33,0
397,2020-10-05,2020-10-05,AZ,AZ,45,30
398,2020-10-06,2020-10-06,AZ,AZ,39,0
399,2020-10-07,2020-10-07,AZ,AZ,40,0
400,2020-03-22,2020-03-22,AR,AR,83,0
401,2020-03-23,2020-03-23,AR,AR,87,0
402,2020-03-24,2020-03-24,AR,AR,100,0
403,2020-03-25,2020-03-25,AR,AR,59,0
404,2020-03-26,2020-03-26,AR,AR,91,0
405,2020-03-27,2020-03-27,AR,AR,52,0
406,2020-03-28,2020-03-28,AR,AR,41,0
407,2020-03-29,2020-03-29,AR,AR,68,0
408,2020-03-30,2020-03-30,AR,AR,71,0
409,2020-03-31,2020-03-31,AR,AR,64,29
410,2020-04-01,2020-04-01,AR,AR,43,30
411,2020-04-02,2020-04-02,AR,AR,75,0
412,2020-04-03,2020-04-03,AR,AR,61,0
413,2020-04-04,2020-04-04,AR,AR,42,33
414,2020-04-05,2020-04-05,AR,AR,52,34
415,2020-04-06,2020-04-06,AR,AR,46,0
416,2020-04-07,2020-04-07,AR,AR,51,29
417,2020-04-08,2020-04-08,AR,AR,28,0
418,2020-04-09,2020-04-09,AR,AR,31,30
419,2020-04-10,2020-04-10,AR,AR,35,0
420,2020-04-11,2020-04-11,AR,AR,28,35
421,2020-04-12,2020-04-12,AR,AR,35,34
422,2020-04-13,2020-04-13,AR,AR,44,0
423,2020-04-14,2020-04-14,AR,AR,53,29
424,2020-04-15,2020-04-15,AR,AR,31,0
425,2020-04-16,2020-04-16,AR,AR,25,29
426,2020-04-17,2020-04-17,AR,AR,34,0
427,2020-04-18,2020-04-18,AR,AR,22,0
428,2020-04-19,2020-04-19,AR,AR,31,0
429,2020-04-20,2020-04-20,AR,AR,11,0
430,2020-04-21,2020-04-21,AR,AR,24,0
431,2020-04-22,2020-04-22,AR,AR,20,0
432,2020-04-23,2020-04-23,AR,AR,16,29
433,2020-04-24,2020-04-24,AR,AR,32,29
434,2020-04-25,2020-04-25,AR,AR,27,0
435,2020-04-26,2020-04-26,AR,AR,28,35
436,2020-04-27,2020-04-27,AR,AR,19,0
437,2020-04-28,2020-04-28,AR,AR,32,0
438,2020-04-29,2020-04-29,AR,AR,18,0
439,2020-04-30,2020-04-30,AR,AR,16,0
440,2020-05-01,2020-05-01,AR,AR,24,0
441,2020-05-02,2020-05-02,AR,AR,19,0
442,2020-05-03,2020-05-03,AR,AR,14,0
443,2020-05-04,2020-05-04,AR,AR,14,0
444,2020-05-05,2020-05-05,AR,AR,22,28
445,2020-05-06,2020-05-06,AR,AR,12,30
446,2020-05-07,2020-05-07,AR,AR,22,0
447,2020-05-08,2020-05-08,AR,AR,18,0
448,2020-05-09,2020-05-09,AR,AR,13,36
449,2020-05-10,2020-05-10,AR,AR,26,0
450,2020-05-11,2020-05-11,AR,AR,24,0
451,2020-05-12,2020-05-12,AR,AR,19,0
452,2020-05-13,2020-05-13,AR,AR,21,0
453,2020-05-14,2020-05-14,AR,AR,17,0
